MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,label,lat,lon,COVID_CONFIRMED_CASE_COUNT,COVID_PROBABLE_CASE_COUNT,COVID_CASE_COUNT,COVID_CONFIRMED_CASE_RATE,COVID_CASE_RATE,POP_DENOMINATOR,COVID_CONFIRMED_DEATH_COUNT,COVID_PROBABLE_DEATH_COUNT,COVID_DEATH_COUNT,COVID_CONFIRMED_DEATH_RATE,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,COUNT_POSITIVE
11429,Queens Village,Queens,11429,40.709772,-73.738731,6839,1366,8205,21260.06,25506.48,32168.3,134,15,149,416.56,463.19,23.68,27711,6561.964800000001
11432,Hillcrest/Jamaica Estates/Jamaica Hills,Queens,11432,40.715359,-73.793064,15016,2377,17393,24715.78,28628.23,60754.71,381,64,445,627.11,732.45,22.74,63516,14443.5384
11433,Jamaica,Queens,11433,40.69823,-73.787095,9035,1587,10622,24738.57,29083.9,36521.92,173,20,193,473.69,528.45,24.05,35986,8654.633
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,Queens,11434,40.656866,-73.783386,15512,2810,18322,23234.3,27443.19,66763.37,326,50,376,488.29,563.18,23.56,63441,14946.6996
11435,Briarwood/Jamaica,Queens,11435,40.701291,-73.809618,13386,2880,16266,22915.33,27845.57,58415.04,261,34,295,446.8,505.01,23.9,53863,12873.257
11436,South Jamaica/South Ozone Park,Queens,11436,40.675819,-73.796618,4927,820,5747,24582.71,28674.01,20042.54,81,9,90,404.14,449.04,24.63,19151,4716.8913
11691,Edgemere/Far Rockaway,Queens,11691,40.60133,-73.761357,18592,1780,20372,27808.89,30471.32,66856.31,540,79,619,807.7,925.87,26.63,67574,17994.9562
11692,Arverne/Edgemere,Queens,11692,40.592794,-73.792203,4943,613,5556,23505.49,26420.5,21029.13,124,29,153,589.66,727.56,25.14,18959,4766.292600000001
11693,Arverne/Broad Channel,Queens,11693,40.603699,-73.821926,3084,461,3545,24336.85,27974.75,12672.14,51,12,63,402.46,497.15,28.01,10433,2922.2833
11694,Belle Harbor-Neponsit/Rockaway Park,Queens,11694,40.577599,-73.844553,5531,844,6375,26617.71,30679.42,20779.4,111,23,134,534.18,644.87,28.67,18425,5282.4475
11697,Breezy Point,Queens,11697,40.55907,-73.907199,1388,205,1593,40912.37,46954.91,3392.62,17,3,20,501.09,589.52,28.64,4477,1282.2128
